>>cbk<< Who?	¿Quién?
>>cbk<< I'm sorry that I can't go with you today.	Pasensya ya no puedo yo siguí cuntigo este día.
>>cbk<< My boyfriend has a lot of female friends.	Bien manada amiga el de mío novio.
>>cbk<< Please don't forget to sign the document.	Favor no olvidá firmá cunel documento.
>>cbk<< Seeing me, they suddenly stopped talking.	Al mirá cumigo, biglá silá ya pará man cuento.
>>cbk<< She called him to say that she'd be late.	Ya llamá le cunele para habla kay ay atrasá le.
>>cbk<< She squeezed the juice from many oranges.	Ya hacé le puga manada naranja para sacá cunel juice.
>>cbk<< There are many red flowers in the garden.	Bien manada mga flores coloráo na jardín.
>>cbk<< Tom did everything he could for his kids.	Ya hacé si Tom todo lo que puede para de suyu maga anak.
>>cbk<< Tom helped an old woman cross the street.	Ya ayudá si Tom cunel vieja travesá camino.
>>cbk<< Tom ran to the door and tried to get out.	Ya corré si Tom hasta na puerta y ya pricurá salé afuera.
>>cbk<< Tom was stabbed in the chest three times.	Ya lancéa con Tom na pecho tres veces.
>>cbk<< Tom was stabbed in the chest three times.	Ya man puñalada con Tom na pecho tres veces.
>>cbk<< Tom was stabbed in the chest three times.	Tres veces ya lancéa na pecho con Tom.
>>cbk<< Tom was stabbed in the chest three times.	Tres veces ya man puñalada con Tom na pecho.
>>cbk<< We watched a baseball game on television.	Ya mirá kamé juego de béisbol na TV.
>>cbk<< When do you think you'll finish this job?	Ta pensá tu cuando tu acabá cuneste trabajo?
>>cbk<< You can't separate language from culture.	No puede tu apartá el lenguaje na cultura.
>>cbk<< "Tatoeba" means "for example" in Japanese.	"Por ejemplo" el cosa quiere decir el "Tatoeba" na lenguaje de Hapon.
>>cbk<< Cockfighting is illegal in many countries.	Ilegal el sabungán na mucho país.
>>cbk<< Do you know who invented the Ferris wheel?	Sabe tu quien ya inventá cunel Ferrish wheel?
>>cbk<< Give us two knives and four forks, please.	Favor dale kanamon dos cuchillo patí cuatro tenedor.
>>cbk<< Have you ever eaten in a restaurant alone?	Ya comé ya tu na un restaurán solo solo?
>>cbk<< I don't remember the names of the beaches.	Hindé yo ta acordá el magá nombre del magá aplaya.
>>cbk<< I got up early this morning to go fishing.	Ya levantá yo temprano este aga para andá pescá.
>>cbk<< I'm tired of listening to your complaints.	Cansáo ya yo de oí tuyo mga reclamo.
>>cbk<< It is very dangerous to cross this street.	Peligroso gayot travesá na camino.
>>cbk<< The man reading a newspaper is his father.	De suyo kel tata aquel gente ta lé cunel diário.
>>cbk<< Tom didn't understand what Mary just said.	Nuay entendé si Tom el cosa ya hablá si Mary nuevo lang.
>>cbk<< Tom reminded me not to forget my passport.	Ya hacé acordá cumigo si Tom na numa olvidá cunel mio passport.
>>cbk<< Tom was disappointed at not being invited.	Disgustáo si Tom na hindê le invitáo.
>>cbk<< Tom wasn't the one who drank all the milk.	Hindê si Tom el quien ya tomá todo el leche.
>>cbk<< What kind of food do you want me to bring?	Cosa clase comida quiere tu na llevá yo?
>>cbk<< Do you want me to tell you how it happened?	Quiere tu hablá yo cuntigo pakimodo aquel ya sucedé?
>>cbk<< I don't know what's going to happen to you.	Nusabe yo cosa cuntigo ay pasá.
>>cbk<< I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cuntigo.
>>cbk<< I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cun ustedes.
>>cbk<< I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cun vosotros.
>>cbk<< I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cuninyo.
>>cbk<< I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cumbó.
>>cbk<< I would like to go to the concert with you.	Quiere yo siguí cuntigo na concierto.
>>cbk<< I'll look after your dog while you're away.	Ay viciá yo de tuyu perro mientras no hay tu.
>>cbk<< Nothing happens around here after midnight.	No hay cosa ta pasá aquí después del medianoche.
>>cbk<< Smoking is not allowed inside the elevator.	No puede tu fumá adentro del elevator.
>>cbk<< The cold weather continued for three weeks.	Por tres semanas frio el tiempo.
>>cbk<< The streets in Tokyo are full on Saturdays.	Bien manada gente el maga camino de Tokyo si Sábado.
>>cbk<< Tom always says everything is Mary's fault.	Pirmi ta hablá si Tom na todo culpa de Mary.
>>cbk<< Tom confessed that he had stolen the money.	Ya confesá si Tom na ya rubá le cunel sen.
>>cbk<< Tom doesn't want to eat at that restaurant.	No quiere si Tom comé na ese restaurant.
>>cbk<< Tom is busy now, so he can't talk with you.	Busy si Tom este mga momento, entonces no puede ele conversá cuntigo.
>>cbk<< Tom is busy now, so he can't talk with you.	Ocupao si Tom este mga momento, entonces no puede ele conversá cuntigo.
>>cbk<< Tom may use my video camera if he wants to.	Puede usá si Tom de mío videocam, si quiere le.
>>cbk<< Tom stared at the ceiling, unable to sleep.	Yan tunganga si Tom na quísame, no puede le durmí.
>>cbk<< Tom told me he'd like to buy a new bicycle.	Ya hablá cumigo si Tom na quiere le comprá nuevo bicicleta.
>>cbk<< Wash your hands before you handle the food.	Lavá de tuyo mano antes de agarrá cunel comida.
>>cbk<< What'll you be doing at this time tomorrow?	Cosa tu ay hacé ancina hora mañana?
>>cbk<< Why do you need a comb if you have no hair?	Por que pa tu necesita peine si nuay man tu pelo?
>>cbk<< Yesterday, Tom told me he didn't know Mary.	Ayer ya hablá cumigo si Tom na no conoce le cun Mary.
>>cbk<< Are you and Tom planning on getting married?	Ta planeá ba tu patí si Tom casá?
>>cbk<< Both Tom and Mary went home early yesterday.	Temprano ayer ya volvé ambos si Tom pati si Mary.
>>cbk<< I finished reading this novel in three days.	Ya acabá yo lé cuneste novela dentro de tres dias.
>>cbk<< I hope Tom will tell me what I need to know.	Era hablá si Tom cumigo cosa yo necesita sabé.
>>cbk<< I need to use your phone to call the police.	Necesita yo usá de tuyu teléfono para llamá pulís.
>>cbk<< I think I left my keys on the kitchen table.	Dol allá yo ya dejá de mío maga llave na mesa na cocina.
>>cbk<< I think Tom is only pretending to be asleep.	Dol tampa-tampa lang man ta durmí si Tom.
>>cbk<< I wanted to be a bus driver when I was five.	Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.
>>cbk<< I will give you a bicycle for your birthday.	Ay dale yo cuntigo un bike na de tuyo cumpleaños.
>>cbk<< I'm always leaving my umbrella on the train.	Ta olvidá yo pirmi mío payung na tren.
>>cbk<< I'm going to make you a list of what to buy.	Ay hacé yo cuntigo lista de maga cosa comprá.
>>cbk<< If you push this button, the door will open.	Si pichí tu cuneste botón, ay abrí el puerta.
>>cbk<< It's been a long time since we've done this.	Tarda ya desde ya hacé kitá cuneste.
>>cbk<< It's been a long time since we've done this.	Tarda ya desde ya hacé kamé cuneste.
>>cbk<< This isn't the knife I confiscated from Tom.	Hindê esté el cuchillo na ya confiscá yo cun Tom.
>>cbk<< Tom asked me to pick Mary up at the airport.	Ya mandá si Tom cumigo man sundô cun María allá na aeropuerto.
>>cbk<< Tom didn't want to admit that he was scared.	No quiere admití si Tom na tiene le miedo.
>>cbk<< Where did you tell Tom to put his suitcases?	Donde tu ya hablá cun Tom na poné de suyu maga maleta?
>>cbk<< Which do you like better, apples or bananas?	Cosa tu mas quiere, mansanas o saguing?
>>cbk<< After she had lunch, she got ready to go out.	Ya prepará le para salé al acabar comé na mediodía.
>>cbk<< Are you going to cut down all the trees here?	Ay acabá tu cortá cun el magá pono aquí?
>>cbk<< Could you hand me the newspaper on the table?	Puede yo pidí favor alcanzá cumigo ese periódico encima del mesa?
>>cbk<< Could you hand me the newspaper on the table?	¿Puede tú favor entregá conmigo el periódico na mesa?
>>cbk<< His house is on the other side of the bridge.	El suyo casa tallá na otro lao del puente.
>>cbk<< How many times a day do you brush your teeth?	Cuanto veces na un dia tu ta cepillá de tuyu diente?
>>cbk<< I don't understand what you're trying to say.	Hinde yo ta entendé cosa tu quiere hablá.
>>cbk<< The hotel I'm staying at is near the station.	Cerca na estación el hotel donde yo ta restá.
>>cbk<< There are still a lot of dishes on the table.	Manada pa plato na mesa.
>>cbk<< Tom doesn't want to talk about what happened.	No quiere si Tom man cuento acerca de cosa ya pasá.
>>cbk<< Tom said he couldn't remember how to do that.	Ya hablá si Tom no puede le acordá pakimodo hacé cunaquel.
>>cbk<< You have friends who can help you, don't you?	Tiene tu mga amigo quien puede ayudá cuntigo, no?
>>cbk<< Do you know where Tom bought his new computer?	Sabe tu donde ya cumprá si Tom de suyo nuevo computer?
>>cbk<< I feed my cat every morning and every evening.	Ta dale yo comé de mio gato todo'l ága y todo'l noche.
>>cbk<< I have to be home tonight before it gets dark.	Necesita que yo na casa ya este noche antes de oscurezca.
>>cbk<< I have to be home tonight before it gets dark.	Este noche debe na casa ya yo antes de oscurezca.
>>cbk<< I spent the whole afternoon cleaning my house.	Entero tarde yo ya limpiá de mío casa.
>>cbk<< I want you all to know that I'll never change.	Quiere yo sabe ustedes todo na nunca yo ay cambiá.
>>cbk<< I've been coughing nonstop since this morning.	Ta tosé yo sin parar desde enantes aga.
>>cbk<< She's sitting in the kitchen and drinking tea.	Talla le na cocina sentáo ta tomá chá.
>>cbk<< Though he is over eighty, he is still healthy.	Masquín más de ochenta años ya le, enbuenamente para siempre de suyo salud.
>>cbk<< Tom can't remember where he hid the documents.	No puede acordá si Tom donde le ya escondé cunel mga papeles.
>>cbk<< Tom lifted up his shirt and exposed his belly.	Ya alzá si Tom de suyo camiseta y ya dale mirá de suyo barriga.
>>cbk<< I thought we could dye our hair the same color.	Pensaba yo puedé kamé teñí diamon pelo igual color.
>>cbk<< I thought you said the meeting was next Monday.	Pensaba yo ya hablá tu na venedero Lunes el meeting.
>>cbk<< I wasn't the only one who didn't eat breakfast.	Hindê lang yo quien no hay comé almuerzo.
>>cbk<< If you have a car, you can come and go at will.	Si tiene tu coche, puede tu andá y vené masquín cuando tu quiere.
>>cbk<< Mary baked three dozen cookies for Tom's party.	Ya hacé si María tres docenas de cookies para el party de Tom.
>>cbk<< No matter what you say, I won't change my mind.	Masquín cosa tu ablá, ay hindé yo cambiá de mio pensamiento.
>>cbk<< The last batch of cookies is still in the oven.	Na horno pa el último batch de cookies.
>>cbk<< There are many reasons that people get married.	Mucho razón por que ta casá maga gente.
>>cbk<< Where is the most beautiful place in the world?	Donde el pinakabale lugar del entero mundo?
>>cbk<< My sister is a nurse and my brother is a doctor.	Nurse de mio hermana y de mio hermano doctor.
>>cbk<< The supermarket is open Monday through Saturday.	Abierto el grocery Lunes hasta Sábado.
>>cbk<< Tom arrived too early and Mary wasn't ready yet.	Bien temprano ya llegá si Tom; hindé pa preparáo si Mary.
>>cbk<< Where did you go yesterday? You weren't at home.	Donde tu ya andá ayer? No hay tu na casa.
>>cbk<< Did you know that your air conditioner is broken?	Ya sabé ba tu na malo de tuyu aircon?
>>cbk<< Father wants me to study abroad while I am young.	Mi tata quiere conmigo que estudía yo afuera mientras yo joven pa.
>>cbk<< Father wants me to study abroad while I am young.	Mío tata quiere conmigo que estudía yo afuera del país mientras yo joven pa.
>>cbk<< I don't want to sleep on the couch again tonight.	No quiere yo durmí ulét na sofá luego denoche.
>>cbk<< I want you to wear that new hat I bought for you.	Quiere yo usá tu el nuevo sombrero na ya comprá yo para cuntigo.
>>cbk<< The paint is peeling off the weather-beaten wall.	Ta cascá el pintura del dingdíng bungkáo.
>>cbk<< Tom and Mary first met at a restaurant in Boston.	Una yan mirahan si Tom pati si Mary na un restaurant na Boston.
>>cbk<< Tom is going to see if Mary can help us tomorrow.	Ay mirá si Tom si puede ayudá kanaton si Mary mañana.
>>cbk<< Tom is going to see if Mary can help us tomorrow.	Ay mirá si Tom si puede ayudá kanamon si Mary mañana
>>cbk<< Tom says that he forgot he'd promised to do that.	Ta hablá si Tom na ya olvidá le na ya prometé le hacé cunaquel.
>>cbk<< You may take either the big box or the small one.	Puede tu escují cunel grande o diútay cajón.
>>cbk<< I'm not worried about Tom. I'm worried about Mary.	No hay yo lingasa cun Tom, pero cun Mary tiene.
>>cbk<< Tom deleted all of Mary's pictures from his phone.	Ya borrá si Tom todo el litrato de Mary na de suyu cellphone.
>>cbk<< Tom didn't remember where he had hidden his money.	Hindê ta acordá si Tom donde le ya escondé suyu sen.
>>cbk<< I couldn't sleep well because it was noisy outside.	No hay yo puede durmí enbuenamente kay alboroto afuera.
>>cbk<< I sometimes hear my father singing in the bathroom.	Tiene vez ta puede yo oí de mío tata ta cantá na baño.
>>cbk<< That's not the only reason why I want to stay here.	Hindê lang se el único razón por que quiere yo está aqui.
>>cbk<< Tom decided not to say anything to Mary about that.	Ya decidí si Tom numa hablá nada cun Mary acerca de aquel.
>>cbk<< Tom is too drunk to drive. Could you take him home?	Bien borracho si Tom para puede manejá. Puede tu llevá cunele bolbe na casa?
>>cbk<< Tom says he doesn't remember where he put his keys.	Ta hablá si Tom na hindê le ta acordá donde le ya poné de suyu maga llave.
>>cbk<< He can't do this kind of work, and she can't either.	No puede le hacé cuneste clase de trabajo, masquín ele no puede también.
>>cbk<< Tom handed me a broom and told me to start sweeping.	Ya dale cumigo si Tom escoba y ya mandá principiá barré.
>>cbk<< Children like to pretend to be adults when they play.	Quiere quiere el mga batâ pretendé como mga mayor silá si ta jugá silá.
>>cbk<< This is the restaurant where we had dinner last week.	Este el restaurant donde kamé ya cená el pasáo semana.
>>cbk<< Tom said he was going to eat fish for dinner tonight.	Ya hablá si Tom na ay comé le pescáo para cena este noche.
>>cbk<< We can't make Tom do something he doesn't want to do.	No puede kitá mandá cun Tom hacé cosa le no quiere hacé.
>>cbk<< When you can't do what you want, you do what you can.	Si no puede tu hace el cosa tu quiere, ta hace tu el cosa tu puede.
>>cbk<< You can't force me to do anything I don't want to do.	No puede tu forsá cumigo hacé cosa yo no quiere hacé.
>>cbk<< Sometimes I say "yes," even though I want to say "no."	Tiene vez, ta hablá yo "sí" masquín quiere yo hablá "no".
>>cbk<< My English teacher recommended that I read these books.	Ya recomendá de mío maestro de inglés na lé yo cunestos maga libro.
>>cbk<< A mother is responsible for the conduct of her children.	El nana el responsable na conducta de suyo maga anák.
>>cbk<< I left my keys on the table. Could you bring them to me?	Ya dejá yo de mío maga llave na mesa. Puede tu llevá kanila aquí?
>>cbk<< According to today's paper, there was a fire in the city.	Segundo cunel diário de este dia, tiene quema na ciudad.
>>cbk<< Do you know why Tom doesn't want to go to Boston with us?	Sabe tu por qué no quiere si Tom siguí kanaton para Boston?
>>cbk<< Tom never told me why he had decided to become a teacher.	Nunca cumigo ya hablá si Tom por que le ya decidí quedá maestro.
>>cbk<< The chair you're sitting in is the one I sat in yesterday.	El silla donde tu ta sintá amo el silla donde yo ya sintá ayer.
>>cbk<< I ate half the apple before I noticed there was a worm in it.	Media ya yo del manzanas ya comé cuando ya mirá yo na tiene galê gusano adentro.
>>cbk<< The gardener planted a rose tree in the middle of the garden.	El jardinero ya siembrá un pono de rosas na medio del jardín.
>>cbk<< Tom has a lot of religious books, but he has never read them.	Bien manada libro si Tom acerca del religión, pero nunca le ya lé kanila.
>>cbk<< I have a cat and a dog. The cat is black and the dog is white.	Tiene yo un perro y un gato. Negro el gato y el perro blanco.
>>cbk<< Tom wanted to buy a jacket, but he couldn't find one he liked.	Quiere comprá jacket si Tom, pero no puede le encontrá cosa le ta gustá.
>>cbk<< The bird picked up the twig with its beak and flew to its nest.	Ya pipiná el pajaro un ramita con su pico y después ya volá hasta su pugarán.
>>cbk<< The roads were very muddy since it had rained during the night.	Bien malodo el mga camino kay ya cai ulán entero noche.
>>cbk<< Have you decided whether or not you're going to sell your house?	Ya decidí ya ba tu si vendé tu de tuyo casa o hindé?
>>cbk<< Have you decided whether or not you're going to sell your house?	Ya decidí ya ba ustedes si vendé ustedes de ustedes casa o hindé?
>>cbk<< The older you are, the more difficult it is to learn a language.	Mas viejo tu, mas dificil aprendé un lenguaje.
>>cbk<< Tom isn't the only one who has to study. I have to study as well.	Hindé lang si Tom el necesita estudiá. Yo también necesita estudiá.
>>cbk<< The best way to learn French is to live in a French-speaking country.	El más efectivo manera para aprendé francés es andá na un país donde tan cuento francés y viví allá.
>>cbk<< Don't worry! Even if I drink, it doesn't have an effect on my driving.	Numá tu man lingasa! Masquín tomá yo, no hay se efecto na mi manejada.
>>cbk<< If you stay out drinking every night, your wife is going to leave you.	Si pirmi tu tallá afuera ta tomá, ay dejá cuntigo de tuyo esposa.
>>cbk<< Mary put her head on Tom's shoulder and Tom wrapped his arm around her.	Ya poné si Mary de suyu cabeza na hombro de Tom pati ya envolvé si Tom de suyu brazo cunele.
